Tst3.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
354094  00226.32,-00019.29, 00980.71, 00010.34, 00001.05,-00003.31, 00000.00, 00000.00, 00000.00, 00033.59,99487.06,14.43,0.98
354408  00213.38,-00007.57, 01006.10,-00003.82,-00001.15, 00002.42, 00000.00, 00000.00, 00000.00, 00033.59,99486.70,14.43,0.98
354722  00188.96,-00033.69, 00940.43,-00004.05, 00005.55, 00002.56, 00000.00, 00000.00, 00000.00, 00034.02,99500.74,14.43,0.98
355036  00221.68,-00039.79, 00996.83,-00003.13,-00003.35,-00000.34, 00000.00, 00000.00, 00000.00, 00033.97,99522.95,14.44,0.98
355354  00214.84,-00037.60, 00981.93,-00011.87,-00002.68, 00003.40, 00000.00, 00000.00, 00000.00, 00033.68,99497.67,14.43,0.98
355668  00221.92,-00233.64, 00881.10,-00077.94, 00010.01, 00011.10, 00000.00, 00000.00, 00000.00, 00033.68,99486.34,14.43,0.98
355982  00185.30,-00819.58, 00635.25,-00120.03,-00003.49, 00001.98, 00000.00, 00000.00, 00000.00, 00033.59,99475.34,14.43,0.98
356296  00119.87,-00910.89, 00324.46,-00029.44, 00001.79, 00004.10, 00000.00, 00000.00, 00000.00, 00033.97,99502.01,14.43,0.98
356621  00145.02,-00937.99, 00267.33, 00002.86, 00000.27, 00000.69, 00000.00, 00000.00, 00000.00, 00033.78,99512.84,14.43,0.98
356935  00163.82,-00922.61, 00308.35, 00000.90,-00000.10,-00002.81, 00000.00, 00000.00, 00000.00, 00033.64,99511.28,14.43,0.98
357249  00164.31,-00993.65, 00316.89,-00001.62, 00000.63,-00002.93, 00000.00, 00000.00, 00000.00, 00033.64,99506.60,14.43,0.98
357563  00166.02,-00971.44, 00286.13,-00004.61, 00001.39, 00001.14, 00000.00, 00000.00, 00000.00, 00033.59,99501.17,14.43,0.98
357881  00166.50,-00914.55, 00290.53,-00003.58, 00001.57, 00000.91, 00000.00, 00000.00, 00000.00, 00033.88,99473.90,14.43,0.98
358195  00143.31,-00942.38, 00328.37, 00039.92, 00000.46,-00007.32, 00000.00, 00000.00, 00000.00, 00033.88,99498.67,14.43,0.98
358509  00204.83,-00480.96, 00898.19, 00194.42, 00011.88,-00006.57, 00000.00, 00000.00, 00000.00, 00033.78,99519.64,14.44,0.98
358823  00177.25, 00253.91, 00949.22, 00009.41, 00008.46, 00001.53, 00000.00, 00000.00, 00000.00, 00033.64,99525.70,14.44,0.98
359141  00205.81, 00158.69, 00930.18, 00001.89, 00005.42,-00001.49, 00000.00, 00000.00, 00000.00, 00033.88,99499.30,14.43,0.98
359455  00207.28, 00123.78, 01002.93, 00001.92,-00002.03, 00000.02, 00000.00, 00000.00, 00000.00, 00034.02,99485.96,14.43,0.98
359769  00210.94, 00109.62, 00951.66,-00006.59, 00000.38, 00002.47, 00000.00, 00000.00, 00000.00, 00033.64,99498.44,14.43,0.98
360083  00206.79, 00103.27, 00944.58,-00004.65, 00000.41, 00001.77, 00000.00, 00000.00, 00000.00, 00034.02,99497.65,14.43,0.98
360401  00241.94,-00051.76, 00999.27,-00022.73,-00011.65,-00001.95, 00000.00, 00000.00, 00000.00, 00033.68,99530.94,14.43,0.98
360715  00232.67,-00579.10, 00799.56,-00154.69,-00002.44, 00018.52, 00000.00, 00000.00, 00000.00, 00033.78,99510.01,14.44,0.98
361029  00116.94,-00951.17, 00506.35,-00028.21, 00005.76,-00012.25, 00000.00, 00000.00, 00000.00, 00033.88,99497.42,14.43,0.98
361343  00154.54,-00840.33, 00444.34,-00017.44, 00005.60,-00003.54, 00000.00, 00000.00, 00000.00, 00033.88,99481.92,14.43,0.98
361661  00183.35,-00857.42, 00391.11,-00001.32, 00003.94, 00003.21, 00000.00, 00000.00, 00000.00, 00033.49,99491.88,14.43,0.98
361975  00202.39,-00879.88, 00462.16, 00013.41, 00003.27, 00001.72, 00000.00, 00000.00, 00000.00, 00033.64,99516.56,14.43,0.98
362289  00225.59,-00738.77, 00634.77, 00081.91,-00000.76,-00007.62, 00000.00, 00000.00, 00000.00, 00033.83,99527.94,14.43,0.98
362603  00192.63,-00325.44, 00929.69, 00132.39, 00002.51,-00002.85, 00000.00, 00000.00, 00000.00, 00033.68,99493.84,14.43,0.98
362921  00208.50, 00142.58, 00972.66,-00005.02,-00006.21, 00000.11, 00000.00, 00000.00, 00000.00, 00033.64,99474.55,14.43,0.98
363235  00231.69, 00124.51, 00935.06, 00006.69, 00004.34, 00002.91, 00000.00, 00000.00, 00000.00, 00033.64,99493.70,14.43,0.98
363549  00198.24, 00115.97, 01004.64, 00000.45,-00002.15,-00003.04, 00000.00, 00000.00, 00000.00, 00033.83,99501.24,14.43,0.98
