Test4.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
472440 -00303.71,-00416.50, 00839.36, 00001.97,-00003.61,-00000.37, 00000.00, 00000.00, 00000.00, 00033.64,99872.95,14.47,0.98
472754 -00260.25,-00473.14, 00854.74,-00003.64,-00004.24, 00001.52, 00000.00, 00000.00, 00000.00, 00033.49,99917.82,14.50,0.99
473067 -00272.46,-00414.55, 00862.79,-00002.21,-00014.21,-00012.11, 00000.00, 00000.00, 00000.00, 00033.59,99450.65,14.42,0.98
473386 -00083.01,-00476.56, 00886.72, 00001.88,-00022.36, 00008.36, 00000.00, 00000.00, 00000.00, 00033.64,99832.15,14.48,0.99
473699 -00027.10,-00425.29, 00903.81, 00006.64,-00016.79, 00008.98, 00000.00, 00000.00, 00000.00, 00033.49,99921.84,14.48,0.99
474014  00062.50,-00403.56, 00902.10, 00003.17,-00007.27, 00000.60, 00000.00, 00000.00, 00000.00, 00033.68,99778.56,14.48,0.99
474328  00056.40,-00433.35, 00903.56,-00001.60,-00001.99,-00000.43, 00000.00, 00000.00, 00000.00, 00033.59,100003.01,14.51,0.99
474646  00070.56,-00400.15, 00914.55,-00002.67, 00000.75,-00003.60, 00000.00, 00000.00, 00000.00, 00033.59,99864.96,14.50,0.99
474960  00069.34,-00397.22, 00916.26, 00001.21,-00000.21, 00001.80, 00000.00, 00000.00, 00000.00, 00033.64,100617.70,14.59,0.99
475274  00088.62,-00393.31, 00915.77, 00000.52,-00001.88, 00000.23, 00000.00, 00000.00, 00000.00, 00033.78,99509.84,14.44,0.98
475587  00077.39,-00405.03, 00918.70,-00000.54, 00001.89,-00000.26, 00000.00, 00000.00, 00000.00, 00033.78,100965.97,14.64,1.00
475906  00052.00,-00418.70, 00914.55,-00001.25,-00002.82,-00001.54, 00000.00, 00000.00, 00000.00, 00033.44,100219.27,14.54,0.99
476219  00126.95,-00392.33, 00915.53, 00027.97, 00003.90, 00000.43, 00000.00, 00000.00, 00000.00, 00033.35,99466.40,14.43,0.98
476534  00085.45, 00049.80, 00972.17, 00083.05,-00008.99,-00007.08, 00000.00, 00000.00, 00000.00, 00033.59,99502.03,14.43,0.98
476847  00118.41, 00322.27, 00943.60, 00022.82,-00000.38, 00001.41, 00000.00, 00000.00, 00000.00, 00033.64,99519.75,14.43,0.98
477165  00135.01, 00446.29, 00890.87, 00026.69, 00000.14, 00011.53, 00000.00, 00000.00, 00000.00, 00033.64,100985.99,14.64,1.00
477480  00132.32, 00435.06, 00874.02,-00008.16,-00002.97,-00001.07, 00000.00, 00000.00, 00000.00, 00033.88,99478.19,14.43,0.98
477794  00148.93, 00384.03, 00900.88,-00008.56, 00004.63,-00001.13, 00000.00, 00000.00, 00000.00, 00033.78,101967.17,14.78,1.01
478111  00151.37, 00344.24, 00917.24,-00004.21, 00000.85, 00002.63, 00000.00, 00000.00, 00000.00, 00033.64,99517.13,14.43,0.98
478423  00244.14,-00200.44, 01004.64,-00088.71,-00002.32,-00013.58, 00000.00, 00000.00, 00000.00, 00033.68,101686.47,14.75,1.00
