Test9.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
438179  00282.71,-00330.57, 00890.38, 00063.60,-00004.74,-00007.25, 00000.00, 00000.00, 00000.00, 00034.21,99518.46,14.43,0.98
438496  00307.13, 00142.09, 00878.66, 00126.72, 00008.22, 00002.80, 00000.00, 00000.00, 00000.00, 00034.31,99510.39,14.43,0.98
438810  00267.58, 00680.42, 00662.84, 00041.66,-00000.08, 00003.67, 00000.00, 00000.00, 00000.00, 00034.21,99509.53,14.43,0.98
439124  00330.32, 00801.03, 00505.62, 00030.80,-00006.51, 00002.18, 00000.00, 00000.00, 00000.00, 00034.31,99502.52,14.43,0.98
439438  00294.43, 00875.98, 00197.51, 00066.95,-00004.85, 00000.61, 00000.00, 00000.00, 00000.00, 00034.21,99506.84,14.43,0.98
439755  00339.36, 00929.20, 00104.98, 00002.72, 00005.69, 00008.72, 00000.00, 00000.00, 00000.00, 00034.21,99485.73,14.43,0.98
440069  00364.26, 00930.18, 00116.21,-00004.77, 00008.31, 00000.69, 00000.00, 00000.00, 00000.00, 00034.50,99493.57,14.43,0.98
440383  00329.59, 00600.10, 00577.64,-00169.63, 00009.02, 00004.99, 00000.00, 00000.00, 00000.00, 00034.31,99516.64,14.43,0.98
440697  00283.69, 00339.60, 00887.45,-00057.18, 00007.03,-00006.23, 00000.00, 00000.00, 00000.00, 00034.36,99523.91,14.44,0.98
441015  00281.98, 00052.73, 00957.03,-00002.40,-00002.11,-00003.87, 00000.00, 00000.00, 00000.00, 00034.40,99518.82,14.44,0.98
441329  00285.89,-00048.10, 00963.38,-00027.15, 00003.13, 00005.32, 00000.00, 00000.00, 00000.00, 00034.12,99517.20,14.43,0.98
441643  00353.27,-00189.21, 00914.79, 00006.14, 00005.02,-00003.27, 00000.00, 00000.00, 00000.00, 00034.16,99516.60,14.43,0.98
441957  00277.34,-00141.36, 00935.30,-00000.09,-00001.34,-00008.28, 00000.00, 00000.00, 00000.00, 00033.97,99512.22,14.43,0.98
442275  00247.80,-00112.30, 00999.27, 00117.79,-00004.44,-00014.40, 00000.00, 00000.00, 00000.00, 00034.21,99504.85,14.43,0.98
442589  00282.23, 00669.68, 00655.27, 00109.59, 00015.25, 00003.75, 00000.00, 00000.00, 00000.00, 00034.02,99502.95,14.43,0.98
442903  00327.15, 00907.96, 00305.42, 00051.27, 00010.81,-00004.94, 00000.00, 00000.00, 00000.00, 00034.21,99503.16,14.43,0.98
443217  00302.25, 00899.17, 00243.90,-00014.10,-00007.02, 00004.65, 00000.00, 00000.00, 00000.00, 00034.02,99528.85,14.44,0.98
443535  00340.58, 00910.40, 00273.19,-00035.71,-00000.33, 00001.47, 00000.00, 00000.00, 00000.00, 00034.21,99516.51,14.43,0.98
443849  00313.48, 00478.52, 00882.81,-00148.42,-00001.66,-00017.70, 00000.00, 00000.00, 00000.00, 00034.36,99520.70,14.43,0.98
444163  00252.20, 00035.40, 00929.69,-00073.15, 00006.49,-00002.85, 00000.00, 00000.00, 00000.00, 00034.16,99510.77,14.43,0.98
444477  00230.71,-00200.44, 00896.97,-00036.67,-00011.77,-00004.95, 00000.00, 00000.00, 00000.00, 00034.36,99505.60,14.43,0.98
444801  00338.13,-00240.48, 01041.50, 00032.52,-00002.58,-00000.26, 00000.00, 00000.00, 00000.00, 00034.31,99498.67,14.43,0.98
445115  00170.17, 00186.77, 00816.41, 00190.27, 00042.48, 00015.66, 00000.00, 00000.00, 00000.00, 00034.02,99493.59,14.43,0.98
445429  00191.41, 00784.67, 00529.79, 00072.81, 00003.05, 00006.62, 00000.00, 00000.00, 00000.00, 00034.16,99504.40,14.43,0.98
445743  00227.05, 00899.17, 00527.59,-00025.06, 00007.01, 00011.15, 00000.00, 00000.00, 00000.00, 00034.40,99511.03,14.43,0.98
446060  00170.41, 00443.36, 00751.22,-00099.69, 00029.27,-00012.47, 00000.00, 00000.00, 00000.00, 00034.36,99526.05,14.43,0.98
446374  00123.29, 00103.27, 00912.84,-00027.37,-00046.06, 00005.80, 00000.00, 00000.00, 00000.00, 00034.12,99518.14,14.43,0.98
446688  00302.49, 00069.82, 01165.53,-00004.40,-00014.66,-00012.69, 00000.00, 00000.00, 00000.00, 00034.12,99510.95,14.43,0.98
447002  00157.96, 00111.57, 00913.33,-00001.15, 00051.18,-00013.18, 00000.00, 00000.00, 00000.00, 00034.31,99475.59,14.43,0.98
