Tst7.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
215279  00275.88, 00666.26, 00669.92,-00002.16,-00001.98,-00000.73, 00000.00, 00000.00, 00000.00, 00034.12,99506.81,14.43,0.98
215593  00270.75, 00671.87, 00677.00,-00008.64,-00001.05, 00002.47, 00000.00, 00000.00, 00000.00, 00034.02,99526.03,14.44,0.98
215917  00274.66, 00678.47, 00638.43, 00014.66,-00002.97, 00000.70, 00000.00, 00000.00, 00000.00, 00033.68,99519.68,14.44,0.98
216231  00282.96, 00711.43, 00627.44, 00001.98, 00007.61, 00001.98, 00000.00, 00000.00, 00000.00, 00033.64,99513.74,14.43,0.98
216545  00328.61, 00699.22, 00641.60,-00000.66, 00004.63, 00002.02, 00000.00, 00000.00, 00000.00, 00033.68,99517.02,14.43,0.98
216859  00315.92, 00694.34, 00617.19,-00003.31,-00002.36,-00002.15, 00000.00, 00000.00, 00000.00, 00033.97,99522.77,14.44,0.98
217177  00298.83, 00695.07, 00622.80,-00000.58,-00004.05,-00002.17, 00000.00, 00000.00, 00000.00, 00033.49,99513.27,14.43,0.98
217490  00297.61, 00708.74, 00629.15,-00002.96, 00001.34, 00000.18, 00000.00, 00000.00, 00000.00, 00033.97,99513.91,14.43,0.98
217804  00278.32, 00706.79, 00654.05,-00001.05,-00001.25, 00004.10, 00000.00, 00000.00, 00000.00, 00033.64,99491.98,14.43,0.98
218118  00299.32, 00674.80, 00621.09,-00003.50, 00001.14, 00005.03, 00000.00, 00000.00, 00000.00, 00033.78,99496.27,14.43,0.98
218436  00303.71, 00648.93, 00672.36,-00013.68,-00001.70, 00003.26, 00000.00, 00000.00, 00000.00, 00033.78,99524.50,14.43,0.98
218750  00334.96, 00456.54, 00818.12,-00067.79, 00003.27, 00013.01, 00000.00, 00000.00, 00000.00, 00033.88,99533.36,14.44,0.98
219064  00319.34, 00254.88, 00913.33,-00024.25, 00006.31,-00003.57, 00000.00, 00000.00, 00000.00, 00033.97,99523.61,14.44,0.98
219378  00292.24, 00143.31, 00929.93,-00004.99, 00003.54,-00010.61, 00000.00, 00000.00, 00000.00, 00033.97,99523.41,14.44,0.98
219696  00290.28, 00083.25, 00956.54,-00003.23,-00001.50, 00000.40, 00000.00, 00000.00, 00000.00, 00034.02,99524.59,14.43,0.98
220010  00302.98, 00086.43, 00936.04,-00003.20, 00000.05, 00005.51, 00000.00, 00000.00, 00000.00, 00033.97,99511.28,14.43,0.98
220324  00303.47, 00055.42, 00938.96,-00001.46,-00002.30,-00003.86, 00000.00, 00000.00, 00000.00, 00033.83,99509.13,14.43,0.98
220638  00354.49, 00073.24, 00953.86, 00011.75,-00003.37,-00006.51, 00000.00, 00000.00, 00000.00, 00034.21,99492.20,14.43,0.98
220956  00299.56, 00097.41, 00935.30, 00002.01,-00002.05,-00007.18, 00000.00, 00000.00, 00000.00, 00033.83,99514.33,14.44,0.98
221270  00283.69, 00108.89, 00938.23,-00007.22,-00001.02,-00004.52, 00000.00, 00000.00, 00000.00, 00034.02,99515.65,14.43,0.98
221584  00297.12, 00091.31, 00943.12, 00000.79, 00000.22, 00007.27, 00000.00, 00000.00, 00000.00, 00034.02,99530.58,14.44,0.98
221898  00331.54, 00096.44, 00948.24,-00001.96,-00002.66, 00000.76, 00000.00, 00000.00, 00000.00, 00033.88,99525.51,14.44,0.98
222216  00308.59, 00108.15, 00932.62, 00000.50,-00003.01, 00001.26, 00000.00, 00000.00, 00000.00, 00033.78,99522.65,14.44,0.98
222530  00327.15, 00204.10, 00916.26, 00058.98,-00004.21,-00016.63, 00000.00, 00000.00, 00000.00, 00033.83,99514.82,14.43,0.98
222844  00247.56, 00568.36, 00726.81, 00068.44, 00000.47,-00012.60, 00000.00, 00000.00, 00000.00, 00033.88,99515.12,14.43,0.98
223158  00241.94, 00872.31, 00433.84, 00060.02,-00011.96, 00008.26, 00000.00, 00000.00, 00000.00, 00033.88,99516.03,14.43,0.98
223476  00295.65, 00929.20, 00273.19,-00008.34, 00008.26, 00007.41, 00000.00, 00000.00, 00000.00, 00033.78,99491.04,14.43,0.98
223789  00347.17, 00884.28, 00263.43,-00009.95, 00005.71,-00001.14, 00000.00, 00000.00, 00000.00, 00033.97,99507.45,14.43,0.98
224103  00323.49, 00886.96, 00301.51, 00000.27,-00001.74,-00003.44, 00000.00, 00000.00, 00000.00, 00033.88,99523.84,14.43,0.98
224417  00275.39, 00897.46, 00338.13,-00002.12,-00003.78,-00002.53, 00000.00, 00000.00, 00000.00, 00034.02,99525.87,14.44,0.98
224735  00283.20, 00894.29, 00361.33,-00002.28, 00007.15, 00005.95, 00000.00, 00000.00, 00000.00, 00034.02,99523.16,14.43,0.98
225048  00312.99, 00871.09, 00360.11,-00001.86, 00005.84, 00002.15, 00000.00, 00000.00, 00000.00, 00033.68,99518.70,14.43,0.98
225362  00369.63, 00811.04, 00480.47,-00054.53,-00000.96, 00004.31, 00000.00, 00000.00, 00000.00, 00034.02,99511.38,14.43,0.98
225676  00273.44, 00455.81, 00791.02,-00085.91, 00012.49,-00005.80, 00000.00, 00000.00, 00000.00, 00033.68,99507.56,14.43,0.98
226000  00265.62, 00172.61, 00924.07,-00032.03, 00009.45, 00006.43, 00000.00, 00000.00, 00000.00, 00033.97,99511.53,14.43,0.98
226313  00276.86, 00077.15, 00967.04,-00015.48, 00000.07, 00001.89, 00000.00, 00000.00, 00000.00, 00033.83,99497.84,14.43,0.98
226627  00289.31, 00041.26, 00944.58,-00006.92, 00001.47,-00008.11, 00000.00, 00000.00, 00000.00, 00034.02,99497.04,14.43,0.98
226941  00251.46, 00071.78, 00924.07, 00000.79,-00007.56,-00006.79, 00000.00, 00000.00, 00000.00, 00033.64,99517.20,14.43,0.98
