Time, Pa
"Friday,-August-30-2024-18:54:16",2147483647
"Friday,-August-30-2024-18:54:17",2147483647
"Friday,-August-30-2024-18:54:18",2147483647
"Friday,-August-30-2024-18:54:19",2147483647
"Friday,-August-30-2024-18:54:20",2147483647
"Friday,-August-30-2024-18:54:21",2147483647
"Friday,-August-30-2024-18:54:22",2147483647
"Friday,-August-30-2024-18:54:23",2147483647
"Friday,-August-30-2024-18:54:24",2147483647
"Friday,-August-30-2024-18:54:24",2147483647
"Friday,-August-30-2024-18:54:25",2147483647
"Friday,-August-30-2024-18:54:26",2147483647
"Friday,-August-30-2024-18:54:27",2147483647
"Friday,-August-30-2024-18:54:28",2147483647
"Friday,-August-30-2024-18:54:28",2147483647
"Friday,-August-30-2024-18:54:29",2147483647
"Friday,-August-30-2024-18:54:30",2147483647
"Friday,-August-30-2024-18:54:31",2147483647
"Friday,-August-30-2024-18:54:32",2147483647
"Friday,-August-30-2024-18:54:33",2147483647
"Friday,-August-30-2024-18:54:34",2147483647
"Friday,-August-30-2024-18:54:34",2147483647
"Friday,-August-30-2024-18:54:35",2147483647
"Friday,-August-30-2024-18:54:36",2147483647
"Friday,-August-30-2024-18:54:37",2147483647
"Friday,-August-30-2024-18:54:38",2147483647
"Friday,-August-30-2024-18:54:38",99356
"Friday,-August-30-2024-18:54:39",99456
"Friday,-August-30-2024-18:54:40",99445
"Friday,-August-30-2024-18:54:40",99450
"Friday,-August-30-2024-18:54:41",99348
"Friday,-August-30-2024-18:54:42",99449
"Friday,-August-30-2024-18:54:42",99448
"Friday,-August-30-2024-18:54:43",99440
