Time, Pa
"Friday,-August-30-2024-19:57:12",99373
"Friday,-August-30-2024-19:57:13",99366
"Friday,-August-30-2024-19:57:13",99371
"Friday,-August-30-2024-19:57:14",99375
"Friday,-August-30-2024-19:57:15",99370
"Friday,-August-30-2024-19:57:16",99373
"Friday,-August-30-2024-19:57:17",99366
"Friday,-August-30-2024-19:57:18",99362
"Friday,-August-30-2024-19:57:19",99366
"Friday,-August-30-2024-19:57:19",99363
"Friday,-August-30-2024-19:57:20",99360
"Friday,-August-30-2024-19:57:20",99355
"Friday,-August-30-2024-19:57:21",99368
"Friday,-August-30-2024-19:57:22",99361
"Friday,-August-30-2024-19:57:23",99364
"Friday,-August-30-2024-19:57:24",99376
"Friday,-August-30-2024-19:57:25",99354
"Friday,-August-30-2024-19:57:26",99368
"Friday,-August-30-2024-19:57:27",99366
"Friday,-August-30-2024-19:57:28",99377
"Friday,-August-30-2024-19:57:29",99370
"Friday,-August-30-2024-19:57:30",99365
"Friday,-August-30-2024-19:57:31",99376
"Friday,-August-30-2024-19:57:31",99350
"Friday,-August-30-2024-19:57:33",99366
"Friday,-August-30-2024-19:57:33",99366
"Friday,-August-30-2024-19:57:34",99363
"Friday,-August-30-2024-19:57:34",99364
"Friday,-August-30-2024-19:57:35",99372
"Friday,-August-30-2024-19:57:36",99387
"Friday,-August-30-2024-19:57:37",99372
"Friday,-August-30-2024-19:57:38",99375
"Friday,-August-30-2024-19:57:39",99371
"Friday,-August-30-2024-19:57:39",99369
"Friday,-August-30-2024-19:57:40",99364
"Friday,-August-30-2024-19:57:40",99365
"Friday,-August-30-2024-19:57:41",99376
"Friday,-August-30-2024-19:57:42",99373
"Friday,-August-30-2024-19:57:42",99364
"Friday,-August-30-2024-19:57:43",99366
"Friday,-August-30-2024-19:57:44",99365
"Friday,-August-30-2024-19:57:45",99360
"Friday,-August-30-2024-19:57:45",99368
"Friday,-August-30-2024-19:57:46",99353
"Friday,-August-30-2024-19:57:46",99357
"Friday,-August-30-2024-19:57:47",99369
"Friday,-August-30-2024-19:57:48",99374
"Friday,-August-30-2024-19:57:48",99368
"Friday,-August-30-2024-19:57:49",99376
"Friday,-August-30-2024-19:57:50",99368
"Friday,-August-30-2024-19:57:50",99364
"Friday,-August-30-2024-19:57:51",99358
"Friday,-August-30-2024-19:57:52",99365
"Friday,-August-30-2024-19:57:53",99373
"Friday,-August-30-2024-19:57:53",99362
"Friday,-August-30-2024-19:57:54",99360
"Friday,-August-30-2024-19:57:55",99363
"Friday,-August-30-2024-19:57:55",99359
