Time,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Temp,Pa,PSI,atm
87949, -00314.45,-00754.88,601.56,-3.63,-2.32,0.51,-49.8,-19.65,37.5,33.64,98664.14,14.31,0.97
88262, -00261.72,-00812.99,553.71,-27.27,10.91,1.55,-49.65,-21.45,34.95,33.68,98667.83,14.31,0.97
88576, -00293.95,-00854.00,422.85,-20.04,4.15,14.15,-51.15,-27.75,30.15,33.97,98653.41,14.31,0.97
88893, -00333.50,-00907.23,373.05,-0.35,-11.53,5.57,-49.8,-28.05,26.85,34.02,98635.39,14.31,0.97
89206, -00348.14,-00880.37,352.05,4.24,1.47,-1.24,-49.35,-26.4,27.3,33.78,98652.49,14.31,0.97
89520, -00289.55,-00877.44,401.86,6.98,7.53,-1.4,-50.1,-26.4,27.3,33.64,98671.2,14.31,0.97
89834, -00228.03,-00839.84,438.96,-3.05,14.67,-4.67,-51.0,-28.05,31.5,33.83,98663.6,14.31,0.97
90152, -00308.11,-00880.37,468.26,1.66,-0.31,8.32,-50.4,-27.45,33.9,33.88,98682.8,14.31,0.97
90466, -00338.87,-00726.56,595.7,59.61,-12.01,-2.92,-49.2,-22.65,37.35,33.78,98670.51,14.31,0.97
90780, -00319.82,-00524.41,792.48,50.8,2.31,-0.32,-49.05,-9.3,44.7,33.78,98669.36,14.31,0.97
91094, -00319.34,-00301.27,903.81,27.17,-5.95,-5.26,-50.7,2.25,48.3,33.78,98659.08,14.31,0.97
91412, -00275.88,-00252.93,914.55,0.95,-1.53,-9.66,-50.1,6.45,48.75,33.88,98672.48,14.31,0.97
91726, -00299.32,-00201.17,932.13,1.78,5.51,-7.34,-50.4,6.75,51.6,33.88,98651.47,14.31,0.97
92040, -00286.13,-00236.82,934.08,-11.28,-3.53,9.73,-48.0,5.55,52.35,33.68,98656.42,14.31,0.97
92354, -00339.84,-00294.43,895.51,-29.19,1.62,6.02,-48.0,3.15,49.35,33.78,98661.7,14.31,0.97
92672, -00326.66,-00517.58,821.78,-62.85,2.9,-7.96,-51.15,-9.45,45.15,33.68,98674.07,14.31,0.97
92986, -00223.63,-00798.34,569.82,-49.22,-11.82,-9.86,-52.5,-21.3,34.8,33.83,98666.8,14.31,0.97
93300, -00180.66,-00927.73,252.93,-52.44,0.02,-3.68,-55.5,-30.0,22.05,33.88,98671.2,14.31,0.97
93614, -00095.70,-00771.48,270.51,23.06,-15.75,9.18,-55.65,-28.65,20.7,33.83,98651.19,14.31,0.97
93932, -00114.75,-00921.87,269.53,-12.99,5.69,-6.82,-55.95,-31.65,17.4,33.88,98658.8,14.31,0.97
94246, -00189.45,-00912.60,305.18,33.3,-0.91,6.53,-54.3,-28.35,20.55,33.83,98657.79,14.31,0.97
94560, -00260.25,-00766.60,574.71,52.37,-2.23,-9.34,-53.25,-21.6,33.75,33.88,98644.38,14.31,0.97
94874, -00236.33,-00637.21,771.0,46.28,10.94,1.82,-54.6,-13.05,42.9,33.59,98651.31,14.31,0.97
95192, -00124.02,-00207.03,977.05,51.75,16.15,-11.67,-55.2,6.15,49.5,33.83,98659.44,14.31,0.97
95505, -00193.85,-00258.30,971.68,8.01,-15.24,1.95,-54.3,10.5,49.5,33.64,98671.08,14.31,0.97
95819, -00271.97,-00189.94,932.13,-7.01,19.47,-4.11,-55.65,9.15,47.4,33.88,98670.94,14.31,0.97
96133, -00215.33,-00219.24,966.8,2.69,20.12,-3.26,-54.6,6.75,49.35,33.78,98660.59,14.31,0.97
96451, -00188.48,-00324.71,960.45,-52.95,-7.02,1.51,-53.25,4.5,50.25,33.64,98664.14,14.31,0.97
96764, -00176.76,-00506.35,805.18,-50.95,-16.17,1.73,-52.8,-7.65,44.7,33.83,98665.71,14.31,0.97
97078, -00195.31,-00708.98,591.8,-25.95,-0.73,1.46,-55.5,-20.85,32.25,33.78,98647.24,14.31,0.97
